,,"Ліга А, червоний","Ліга А, червоний","Ліга А, червоний","Ліга А, червоний","Ліга А, жовтий","Ліга А, жовтий","Ліга А, жовтий","Ліга А, жовтий","Ліга А, зелений","Ліга А, зелений","Ліга А, зелений","Ліга А, зелений","Ліга А, синій","Ліга А, синій","Ліга А, синій","Ліга А, синій","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, червоний","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, жовтий","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, зелений","Ліга Б, синій","Ліга Б, синій","Ліга Б, синій","Ліга Б, синій","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, червоний","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, жовтий","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, зелений","Ліга В1, синій","Ліга В1, синій","Ліга В1, синій","Ліга В1, синій","Ліга В1, помаранчевий","Ліга В1, помаранчевий","Ліга В1, помаранчевий","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, червоний","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, жовтий","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, зелений","Ліга В2, синій","Ліга В2, синій","Ліга В2, синій","Ліга В2, синій","Ліга В2, помаранчевий","Ліга В2, помаранчевий","Ліга В2, помаранчевий","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, червоний","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, жовтий","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, зелений","Ліга В3, синій","Ліга В3, синій","Ліга В3, синій","Ліга В3, синій","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, червоний","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, жовтий","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, зелений","Ліга В4, синій","Ліга В4, синій","Ліга В4, синій","Ліга В4, синій"
6. Не тільки романи ХХ століття,"30. Треба заповнити ПРОПУСК. Берналь Діас згадує, як щонайменше ПРОПУСК індіанців щодня пропонували ідолам.
Відповідь: Серця трьох
Коментар: Берналь Діас – конкістадор, що супроводжував Кортеса та написав велику книгу спогадів про свої пригоди та завоювання Мексики. Хороброго вояку жахали ацтекські ритуальні жертвоприношення, під час яких виривали серця, а ноги та руки жертв їли «як ми купуємо у м’ясників та їмо биків». «Серця трьох» - пізній пригодницький роман Джека Лондона.
Джерело: https://en.wikipedia.org/wiki/Human_sacrifice_in_Aztec_culture
https://uk.wikipedia.org/wiki/Серця_трьох",1,,,,,,,,,,,,,1,,-1,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Не тільки романи ХХ століття,"40. На рідкісній тематичній картині Куїнджі, у назві якої є ВІН, темні крони маслин та кедрів контрастують із фігурою, що осяяна місячним світлом.
Відповідь: Сад Гетсиманський
Залік: Гефсиманський сад
Коментар: Роман Багряного. «В Гетсиманському саду» - одна з останніх картин великого пейзажиста. Нині знаходиться у Воронцовському палаці в Криму.
Джерело: https://uk.wikipedia.org/wiki/Христос_у_Гетсиманському_саду_(картина_Куїнджі)
https://uk.wikipedia.org/wiki/Сад_Гетсиманський
",,,,,,,,,1,,,,,1,,,,1,,,,,-1,,,,,,1,,,,1,,,,,,,,,-1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,-1,,,-1,,,,,,1,,,,,,,,,
6. Не тільки романи ХХ століття,"50. [Ведучому: зробіть у третьому реченні логічну паузу між “будівлі” і “у XIX столітті”]
Треба заповнити ПРОПУСК. На мисі Святого Георгія в Австралії існують руїни будівлі, що вважається проклятою. Через помилки у проектуванні цієї будівлі у XIX столітті сталося понад два десятки катастроф, коли прямували ПРОПУСК.
Відповідь: До маяка
Залік: На маяк
Коментар: До маяка – роман Вірджинії Вулф. Через погано побудований австралійський маяк сталося 23 кораблетрощі. Також трагедії та дивні нещасні випадки переслідували сім’ї доглядачів цього маяка, аж поки його не залишили назавжди.
Джерело: https://uk.wikipedia.org/wiki/До_маяка
https://www.maximonline.ru/longreads/_article/mayak-iz-za-kotorogo-proizoshlo-23-korablekrusheniya/
https://en.wikipedia.org/wiki/Cape_St_George_Lighthouse",,,,1,,1,,,,,-1,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. На десерт,"10. МандрИки – круглі, але зовсім не тверді пампушки, які в Україні готували в середині літа на честь ЦИХ ДВОХ. Назва походить від того, що ВОНИ мандрували світом.
Відповідь: Апостоли Петро та Павло
Залік: Петро та Павло
Коментар: 12 липня (29 червня за старим календарем) святкували досить популярне християнське свято Петра і Павла, яке також змішувалося з язичницькими традиціями. «Не тверді» - тобто, не схожі на камені.
Джерело: https://uk.wikipedia.org/wiki/Мандрики",,,,1,,,,1,,1,,-1,-1,,,,1,,,,,,,1,,1,,,1,,,,1,,,,1,,,,,,,1,,,,,1,,,,,1,,,1,,,,1,,,,,1,,,,,,,,1,,,,,,,,1,,1,,,,,1,,,,,1,,,1,,1,,,
7. На десерт,"20. Серед саундтреків до ЦЬОГО ФІЛЬМУ, який знімали у ФлавіньЇ-сюр-ОзерЕн – «Бойкот аморальності» та «Миска майя розбивається».
Відповідь: Шоколад
Коментар: Фільм Лассе Халстрьома з Жульєт Бінош та Джонні Деппом, де дії відбуваються у невеликому французькому містечку. 
Джерело: https://en.wikipedia.org/wiki/Chocolat_(2000_film)",,,1,,,,,,,,,-1,,,,,,,,,1,,,,,,,,,,,,-1,,,1,,,,-1,,,,1,,,,-1,,1,,,-1,,-1,,,,,,,,,,1,,,-1,,,,,,,,,,,,1,,-1,,,,,,,,,,,1,,1,,,,,,,
7. На десерт,"30. ЙОГО традиційна овальна форма мала нагадувати загорнутого у пелюшки Христа-немовлятка.
Відповідь: Штолен
Коментар: Традиційна німецька різдвяна випічка. Смачненька ☺
Джерело: https://uk.wikipedia.org/wiki/Штолен",,,,1,,,,1,1,,,,1,,-1,,,1,,,1,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,,,,,,
7. На десерт,"40. На деяких ілюстраціях ХХ сторіччя до ЦЬОГО відомого ТВОРУ головну антагоністку зображали з характерними єврейськими рисами, що додає жахливості фіналу.
Відповідь: Гензель і Гретель
Залік: Прянична хатинка, пряникова хатинка
Коментар: Сюжет, де арійські діти знаходять у лісовій пряниковій хатинці вигнанку-відьму, а потім спалюють її у печі, сучасні дослідники трактують у контексті Голокосту.
Джерело: https://ru.wikipedia.org/wiki/Гензель_и_Гретель",,,,,,,,,,,-1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
7. На десерт,"50. [Роздатковий матеріал:]
У відповіді два слова. Назва популярного японського десерту шірокума означає «ВІН». Десерт виготовляють з колотого льоду з додаванням згущеного молока та прикрашають фруктами, щоб ніс було видно.
Відповідь: Білий ведмідь
Коментар: Досить логічна назва для дуже холодного десерту. Пуант міг нагадати про біле ведмежа Умку, якого мати навчала, що при ловлі риби ніс треба прикривати, бо в іншому разі його видно.
Джерело: https://en.wikipedia.org/wiki/Kakig%C5%8Dri",,,1,,,,,1,,,-1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,-1,,,,,,,,,,,,,,,,,,-1,,,1,,,,,,,,,,
8. Матричний іслам,"10. Треба заповнити ПРОПУСК двома словами. На думку Сергія Кузнєцова, епізод радянської анімаційної екранізації, де ПРОПУСК гіпнотизує, це «найяскравіший образ смерті у всій світовій мультиплікації».
Відповідь: Каа бандерлогів
Коментар: Матриця – Кааба. У чудовій радянській серії мультфільмів за «Книгою джунглів» дуже запам’ятовується епізод, де пітон Каа танцює танок смерті, гіпнотизуючи бандерлогів.
Джерело: https://uk.wikipedia.org/wiki/Каа_(персонаж_Кіплінга)",,,,1,,,,,,,,,,-1,,-1,,,,1,,,,,,,,,1,,,,,-1,,,,,,-1,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,,,,,,,,,,
8. Матричний іслам,"20. Наразі ВІН є власником клубу «Фарул Констанца», де сам колись починав кар’єру.
Відповідь: Георге Хаджі
Залік: За прізвищем
Коментар: Матриця – хадж. Хаджі - видатний румунський півзахисник, що грав за мадридський «Реал».
Джерело: https://en.wikipedia.org/wiki/Gheorghe_Hagi",,,1,,1,,,,,1,,,,1,,,,,,1,,,-1,-1,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,1,,,,,1,,,1,,,,,,,,,1,,,,1,,,1,,1,,,,,,,1,,,1,,,1,,,,,1,
8. Матричний іслам,"30. Попри те, що ПРОПУСК складає біля 25 тисяч кілометрів, що більше, ніж у «сусіда», його маса менша. Це пояснюють будовою з трьох різних льодів – водного, аміачного і метанового.
Відповідь: Радіус Урана
Коментар: Матриця – сура (розділ у Корані). «Сусід» - Нептун.
Джерело: https://uk.wikipedia.org/wiki/Уран_(планета)",,,,,,,,,,1,-1,,,,,1,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
8. Матричний іслам,"40. У ЦЬОМУ ТВОРІ героїня, що у захваті від «Днів Турбіних», каже, що «прілічнєє бить ізнасілованной».
Відповідь: «Мина Мазайло»
Коментар: Матриця – намаз. У п’єсі Миколи Куліша тьотя Мотя з Курська є головною носійкою російського шовінізму. Саме вона каже, що «прілічнєє бить ізнасілованной, нєжелі українізірованной». Велика дяка швагер-лізі за лагідну українізацію! ☺
Джерело: https://uk.wikiquote.org/wiki/Мина_Мазайло",,,1,,1,,,,1,,,,1,,,,,,1,,1,,,,,,,1,1,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,
8. Матричний іслам,"50. [Роздатковий матеріал:
У мюзиклі Стівена Шварца за мотивами відомої історії один з синів, ПРОПУСК, чи бути слухняним, чи попри волю батька взяти на борт кохану Йону, представницю проклятого роду, що має загинути.
]
Заповніть ПРОПУСК двома словами.
Відповідь: Яфет вагається
Залік: Яфет вирішує; те саме з Іафет замість Яфет
Коментар: Матриця – фетва, богословсько-правовий висновок в ісламі. Мюзикл Шварца «Діти Едему» заснований на Книзі Буття, але досить вільно трактує деякі епізоди, наприклад, в історії Ноя є лірична лінія «забороненого» кохання Яфета та служниці Йони з роду Каїна. Згодом саме Йона, яку Яфет потайки проводить до ковчега, посилає голуба у пошуках землі. Голуб повернувся з оливковою гілочкою. На цьому мій тур Швагер-ліги завершується, і я передаю естафету Едуарду Голубу.
Джерело: https://en.wikipedia.org/wiki/Children_of_Eden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,-1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,
